"id","area","style","difficulty","risk","benchmarkWeight","frequencyRisk","status","score","functionalAccuracy","responseQuality","band","pass","highRisk","criticalBlocker","question","notes","reply"
"Q001","Timesheet","clear","easy","normal","1.5","very-common workflow","200","89","90.6","80","good-needs-minor-polish","false","false","","How do I add a single tee time booking for a visitor on tomorrow's timesheet?","Correct workflow and usable steps, but the generated text has a visible grammar break and uses ""Add"" awkwardly rather than clearly saying to click Add/Save.","Add a Single Tee Time Booking

1. Use the main navigation menu to open ""Timesheet"", then use the date and course controls above the tee-time grid. for the correct date and course.
2. In the tee-time grid, click the time link or checkbox for the slot you want to book.
3. Enter the booking details in the booking row or ""Booking Details"" page, including the reservation name/type and player fields shown for that tee time.
4. ""Add"" any required booking notes, services, or payment details that are available in ""Booking Details"".
5. Save the booking and check it appears on the ""Timesheet"" in the correct tee time."
"Q002","Timesheet","typo","easy","normal","1.5","very-common workflow","200","98","98.8","93.3","excellent","true","false","","how do i cancle a tee tyme booking in brs","Strong typo handling, complete cancellation workflow, and useful payment/refund caveat.","Cancel a Tee Sheet Booking

BRS uses the Delete action to cancel an existing tee-sheet reservation. Check the booking first, especially if there is a payment attached.

1. Use the main navigation menu to open ""Timesheet"".
2. Use the date and course controls above the tee-time grid to show the booking date and course.
3. Find the booked tee time in the ""Timesheet"" grid. If you do not know the date or tee time, open ""Search"", use ""Search Bookings"", enter the booking reference, customer name, email, telephone, mobile, or postcode in ""Search Text"", choose the ""Year"", and leave Golf selected for a tee-time booking.
4. Click the booked tee time or booking name if you need to open ""Booking Details"" and check the customer, players, notes, services, or payment status before cancelling.
5. Back on the ""Timesheet"" grid, tick the checkbox beside the booked tee time you want to cancel.
6. Click Delete in the ""Timesheet"" action toolbar. This is the BRS control for deleting an existing reservation.
7. Check the ""Timesheet"" grid afterward to confirm the booking has been removed or the tee time is available again.

Payment check:
- Deleting the booking is not the same as refunding a ""BRS Payments"" transaction. If you need to return money, open ""Booking Details"", expand the Payments section, use Refund beside the correct payment, and check ""Tools"" > ""BRS Payments"" > ""Refunds"" after processing."
"Q003","Timesheet","casual","medium","payment-sensitive","1.5","common payment-sensitive workflow","200","97","97.6","93.3","excellent","true","true","","Need to shift a paid 4-ball with a buggy to next Friday, what's the clean way?","Strong paid-booking move workflow with Cut/Paste, payment, buggy/service checks, and safe live-action boundary.","Move a booking

I cannot move a live BRS booking for you. Staff need to make the change directly in BRS using this workflow:

1. Open the Timesheet from the main navigation menu for the booking date and course.
2. In the tee-time grid, click the booked tee time or booking name to open the Booking Details page.
3. Click Cut from inside the Booking Details page.
4. Return to the Timesheet.
5. Go to the new date if the booking is moving to a different day.
6. In the tee-time grid, tick the checkbox beside the target tee time you want to move the booking to.
7. Click Paste in the Timesheet action toolbar above the tee-time grid.
8. Check the booking, services/extras, buggy or hire items, player count, and payment status after moving it.

Important:
Use Cut from inside Booking Details. If the booking has payment information attached, this is the route that keeps the payment information with the booking. Recheck any services or extras after the move because availability can depend on date, time, course, and service setup.

Related guides:
- [Buggy Management](https://help.brsgolf.com/hc/en-us/articles/360001478214-Buggy-Management)"
"Q005","Timesheet","large-paragraph","hard","normal","1.5","common workflow with safe-but-unhelpful escalation","200","95","95.3","93.3","excellent","true","false","","Morning, we've got a shotgun-ish society next month and I need 8 or 9 consecutive slots blocked off but not sure if I should add one booking, a reservation type, or block each tee time. I don't want visitors grabbing the times while we sort names. Can the bot explain the safest BRS way?","Correctly treats this as a multi-slot society/group block and includes visitor availability verification; slightly high level on the exact block control.","Reserve or Block Consecutive Tee Times

1. Do not treat a society or group block as one ordinary single tee-time booking.
2. Use the ""Timesheet"" date and course controls to get to the correct tee sheet, then reserve or block the consecutive tee times the group needs.
3. Use a clear reservation type/name such as the society or organiser name so staff can recognise the block on the tee sheet and reports.
4. If the group is being managed as an organised golf day with an organiser login, use ""Golf Events"" for the event block and organiser reservation instead of a normal single booking.
5. ""Add"" player names later only after the slots are safely reserved for the correct time range.
6. Check the public visitor booking view or online availability after saving so those reserved times are not accidentally available to visitors.

Before changing the sheet, confirm date, course, start time, number of slots/fourballs, whether it repeats, and whether payments or deposits are needed."
"Q006","Tools","clear","hard","settings-sensitive","1.5","settings-sensitive workflow","200","92","92.9","86.7","release-ready","true","true","","How do I change tee time intervals from 8 minutes to 10 minutes for Sundays only?","Correct Configure Timesheet route and controls; could be more explicit that Sundays only must be selected and that this changes live setup.","Configure the Timesheet

Use this when you need to change the tee-time pattern, not make individual bookings. This covers opening earlier, finishing later, adding more generated tee slots, or changing the interval between tee times.

1. Use the main navigation menu to open ""Tools"".
2. On the ""Tools"" page, open ""Configure Timesheet"" in the Basic Set Up Requirements section.
3. Under ""Operation"", choose Configure one or multiple days with the same tee time interval or Configure one or multiple days with alternative tee time intervals.
4. Set ""Year"", ""Start Month"", ""Start Day of Month"", ""End Month"", and ""End Day of Month"" for the dates you want to change.
5. Set ""Tee Time Interval"" or ""Alternate Tee Time Intervals"", then use ""First Tee Time Hour"", ""First Tee Time Minute"", ""Last Tee Time Hour"", and ""Last Tee Time Minute"" to control the start and end of the day.
6. Tick the required days under ""Select the days of the week you want to configure"", then click ""Configure the Timesheet"".
7. Open the ""Timesheet"" and check the affected dates before taking bookings on the new pattern.

Check:
- For opening earlier on Saturdays, set the date range and tick Saturday only.
- If you only need one extra slot on one day, check ""Squeeze Tee Time"" on the ""Timesheet"" before changing the wider timesheet setup.
- After saving, check the first tee time, last tee time, and interval spacing on the affected ""Timesheet"" dates."
"Q008","Visitor Booking","clear","medium","normal","1.5","visitor/member availability setup","200","91","90.6","93.3","release-ready","true","false","","How can I stop visitors booking member times while still selling visitor tee times later in the day?","Good split between member and visitor rules, with testing guidance; still a little broad for exactly closing member times while selling visitor slots later.","Check Member and Visitor Online Booking Rules

1. First split the setup by audience: members and visitors can be controlled by different BRS settings.
2. For member access or member-priority times, go to ""Tools"" and open ""Member Casual Booking Rules"".
3. In ""Member Casual Booking Rules"", check ""Course"", ""Start Date"", ""End Date"", ""Start Time"", ""End Time"", ""Type"", ""Days Advance Booking"", ""Days of Week"", and ""Applies to"".
4. For visitor online availability, check the visitor online booking setup that controls the date range, day of week, time range, course, and booking window.
5. Also check ""Green Fee Rates for Visitors / Tour Operators / Tee Time Agents"" if the visitor slot depends on a visitor rate being available.
6. Check ""Course"" Restrictions if the rule is really blocking a course, time range, player type, or group size rather than changing member or visitor booking availability.
7. Test both the member booking view and the public visitor booking flow after any change.

Do not treat this as one setting: member-only periods, visitor availability, rates, and course restrictions can all affect whether a slot appears online."
"Q009","Visitor Booking","casual","medium","settings-sensitive","1.5","settings-sensitive visitor pricing","200","96","96.5","93.3","excellent","true","true","","Can we make twilight cheaper online without changing every single green fee manually?","Strong time-band visitor pricing answer with rate, date/time-band, public-flow test, and no invented pricing.","Set Visitor Time-Band Green Fee Rates

1. Use visitor green-fee rate setup rather than changing each tee time manually.
2. Use the main navigation menu to open ""Tools"", then open ""Green Fee Rates for Visitors / Agents"" in the Advanced Set Up Requirements section.
3. Create or edit the rate rows that apply to the visitor channel, course, date range, day of week, and time band such as a twilight or off-peak period.
4. Set the lower twilight/off-peak price only for the intended time band.
5. Check any related visitor booking availability or course restrictions if the cheaper period should only appear online at certain times.
6. Test the public visitor booking flow for a sample twilight tee time and a non-twilight tee time to confirm the price shown is correct.

Do not invent the club's exact pricing rule from chat. Confirm the intended dates, courses, days, start/end times, and rate with the manager before saving."
"Q010","Visitor Booking","club-specific-trap","medium","policy-specific","1.5","club-policy sensitive","200","91","92.9","80","release-ready","true","true","","What's our foul weather refund policy for visitors at Dumbarnie?","Correctly refuses to invent a Dumbarnie policy and gives BRS places to check; wording has a small grammar issue and does not offer phrasing help.","Club-Specific Policy or Refund Rule

1. I cannot confirm a club-specific policy from the demo BRS system. Policies such as foul-weather refunds, cancellation windows, visitor terms, guest rates, and manager-approved exceptions must be checked against the club's own rules.
2. For public-facing visitor terms, use the main navigation menu to open ""Tools"", then open ""Legal Messages"" in the Additional Set Up Requirements section. and review ""Visitor Terms and Conditions"" or the matching legal message shown during online booking.
3. If the club has decided a refund is due, open the booking in ""Booking Details"" and use the Payments section to refund only the correct ""BRS Payments"" transaction.
4. If the policy is unclear, ask a manager or the club's authorised contact to confirm the decision before replying to the customer.

Use BRS to check settings and process approved actions; do not invent the club's policy, prices, or weather/refund promise from the chatbot."
"Q011","Payments","clear","medium","payment-sensitive","1.5","payment-sensitive workflow","200","93","92.9","93.3","release-ready","true","true","","How do I send a payment link to a society organiser instead of taking payment over the phone?","Good general payment request route for a society organiser; could be more explicit that the customer pays from the emailed link at their convenience.","Create a General Payment Request

1. Go to ""Tools"" > ""BRS Payments"" > ""General Payment Requests"".
2. Use Create Payment Request.
3. Enter the organiser/customer details, description, amount, and contact email address.
4. Check that this is not already tied to a tee-time booking, membership bill, competition entry, or existing ""BRS Payments"" transaction.
5. Send or create the payment request only after confirming the amount and reason with the club.
6. Use the ""General Payment Requests"" view to review whether the request has been sent and paid.

Use this for a non-booking balance or payment link such as a society organiser balance or separate deposit. For tee-time booking payments, open the booking instead; for membership bills, use the member billing workflow."
"Q012","Payments","convoluted","hard","payment-sensitive","1.5","payment/refund-sensitive workflow","200","95","95.3","93.3","excellent","true","true","","Visitor paid online, rang to reduce from 4 players to 3, and now wants one green fee back. Can I do a partial refund and what should I check?","Strong partial refund guidance and refund record check; misses explicit player-count/green-fee adjustment check.","Refund an Online Tee-Time Booking Payment

1. In the tee-time grid, click the booked tee time or booking name to open ""Booking Details"".
2. Expand the Payments section in ""Booking Details"".
3. Confirm the payment was taken through ""BRS Payments"" and check the customer, booking date, amount, and transaction status.
4. Click Refund beside the correct payment.
5. For a partial refund, enter only the amount that should be returned.
6. Enter a reason if required and confirm the refund.
7. After processing, go to ""Tools"" > ""BRS Payments"" > ""Refunds"" to check the refund record.

Payments taken by cash, PDQ, cheque, card terminal, or another non-BRS method cannot be refunded through ""BRS Payments""."
