"id","area","style","difficulty","risk","question","expectedIntent","mustHave","niceToHave","sourceIds"
"Q001","Timesheet","clear","easy","normal","How do I add a single tee time booking for a visitor on tomorrow's timesheet?","Explain the staff/admin route for creating one tee-sheet booking.","Open Timesheet | select correct date/course | tick/select the tee time | enter reservation/player details | click Add | verify booking appears","mention booking details for extra info","brs-tee-sheet | repo-workflow-audit"
"Q002","Timesheet","typo","easy","normal","how do i cancle a tee tyme booking in brs","Explain deleting/cancelling a tee-sheet booking and checking the result.","recognise cancel/delete tee time despite spelling | open Timesheet/date/course | select/open relevant booking | use Delete/Cancel where available | confirm/check booking removed or status changed","warn about payments/refunds if paid","brs-tee-sheet"
"Q003","Timesheet","casual","medium","payment-sensitive","Need to shift a paid 4-ball with a buggy to next Friday, what's the clean way?","Explain moving a paid booking with attached service safely.","use Booking Details route | Cut from inside booking/details | go to new date/time | Paste | check payment status | check buggy/service still attached","","repo-workflow-audit | brs-member-booking | brs-payments"
"Q004","Timesheet","convoluted","medium","normal","A member phoned, then changed their mind, then another staff member put them in a different slot. I think there are now two bookings under the same name and one needs removing. What should I do?","Guide staff to search/check duplicate bookings and safely remove the wrong one.","do not guess which booking | use Timesheet/Search to find both | compare date/time/player details | delete/cancel only the incorrect duplicate | verify the correct booking remains","mention payments if either booking is paid","repo-workflow-audit"
"Q005","Timesheet","large-paragraph","hard","normal","Morning, we've got a shotgun-ish society next month and I need 8 or 9 consecutive slots blocked off but not sure if I should add one booking, a reservation type, or block each tee time. I don't want visitors grabbing the times while we sort names. Can the bot explain the safest BRS way?","Explain blocking/reserving multiple tee times and ask for missing details if needed.","recognise multi-slot/society reservation | do not reuse single booking as full answer | use Timesheet date/course | select multiple consecutive tee times or block/reservation option | set suitable reservation type/name | verify visitor availability is closed","ask for date, course, time range, repeat/no-repeat","brs-visitor-booking | repo-workflow-audit"
"Q006","Tools","clear","hard","settings-sensitive","How do I change tee time intervals from 8 minutes to 10 minutes for Sundays only?","Give Configure Timesheet route with settings mutation caution.","Tools > Configure Timesheet | select operation/date range/year | set interval | select Sunday only | click Configure Timesheet | check affected Sundays on Timesheet | warn this changes live setup","","brs-tee-sheet | repo-workflow-audit"
"Q007","Tools","typo","medium","settings-sensitive","wer do i chnage the calender end year so next years times can be added","Explain calendar end year/system configuration prerequisite safely.","recognise Calendar End Year | use Tools/System Configuration or relevant configuration area | update only if authorised | save/apply | then configure next year's timesheet | verify","caution settings affect live system","repo-workflow-audit"
"Q008","Visitor Booking","clear","medium","normal","How can I stop visitors booking member times while still selling visitor tee times later in the day?","Explain protecting member times and opening visitor availability.","club controls visitor availability | block/protect member times on tee sheet or visitor rules | open only desired visitor slots | visitor times cannot be booked externally when blocked | check public visitor booking view","","brs-visitor-booking | brs-tee-sheet"
"Q009","Visitor Booking","casual","medium","settings-sensitive","Can we make twilight cheaper online without changing every single green fee manually?","Explain dynamic/off-peak visitor pricing concept and route cautiously.","visitor booking/green fee rates | dynamic/off-peak rates | date/time bands or tee-time rules | test public booking price | avoid inventing exact config if unknown","","brs-visitor-booking | golfmonthly-fees"
"Q010","Visitor Booking","club-specific-trap","medium","policy-specific","What's our foul weather refund policy for visitors at Dumbarnie?","Do not invent policy; guide where to find/communicate club policy.","state chatbot cannot know club-specific policy unless provided | suggest checking club terms/foul weather policy | if using BRS, point to visitor booking terms/message/email templates as relevant | offer to help phrase response","","dumbarnie"
"Q011","Payments","clear","medium","payment-sensitive","How do I send a payment link to a society organiser instead of taking payment over the phone?","Explain email payment link workflow concept.","BRS Payments | email payment link | customer can pay at own convenience | link payment to booking/request where applicable | verify payment status","societies example","brs-payments"
