"id","area","style","difficulty","risk","weight","frequencyRisk","status","endUserAccuracy","functionalAccuracy","responseQuality","safetyPolicy","releaseBand","releasePass","highRisk","criticalBlocker","question","notes","reply"
"Q001","Timesheet","clear","easy","normal","1.5","very-common workflow","200","98","97.6","100","100","excellent","true","false","","How do I add a single tee time booking for a visitor on tomorrow's timesheet?","Excellent direct staff workflow; clear steps, visitor-specific detail, and verification.","Add a Single Tee Time Booking for a Visitor on Tomorrow's Timesheet

To add a single visitor booking for a specific tee time on tomorrow's timesheet, follow these steps:

1. Open the ""Timesheet"" from the main navigation menu.
2. Use the ""Date"" control above the tee-time grid to select tomorrow's date. If needed, choose the correct course using the ""Course"" control.
3. In the tee-time grid, tick the checkbox beside the desired tee time you want to book for the visitor.
4. On the labelled row for that tee time, enter the booking details:
    - Enter the visitor's name in the ""Reservation Name"" field.
    - Select the appropriate ""Reservation Type"" (such as Visitor or relevant rate).
    - Fill out ""Player 1"" with the visitor's name and any other player information required.
    - Fill in any other required fields (such as ""Green Fee,"" ""Buggies,"" etc., if applicable).
5. Click the ""Add"" button to create the booking.
6. (Optional) If you need to enter more detailed booking information, click the booked tee time to open the ""Booking Details"" page and fill in any additional fields.

Check:
- Confirm the booking appears next to the correct tee time on the ""Timesheet"" for tomorrow.
- You can refresh or reopen the tee time row to verify the booking details, including players and status.

This will reserve the selected tee time specifically for your visitor on the correct date.

Source: [How can I add a single tee time using the Squeeze Tee Times feature?](https://help.brsgolf.com/hc/en-us/articles/360008791714-How-can-I-add-a-single-tee-time-using-the-Squeeze-Tee-Times-feature)"
"Q002","Timesheet","typo","easy","normal","1.5","very-common workflow","200","96","96.5","93.3","100","excellent","true","false","","how do i cancle a tee tyme booking in brs","Handles spelling mistakes well and includes the payment/refund caveat. Slight cancel/delete nuance remains.","How to Cancel a Tee Time Booking in BRS

To cancel (delete) a tee time booking in BRS, follow these steps:

1. Open ""Timesheet"" from the main navigation menu.
2. Use the ""Date"" and ""Course"" controls above the grid to display the correct day's bookings.
3. Find the booked tee time you want to cancel in the ""Timesheet"" grid.
    - If you cannot find the booking, you can use the ""Search"" feature to look it up by booking reference, name, or other details.
4. (Optional) Click the tee time or booking name to open ""Booking Details"" if you need to check who booked it, which players are included, or the payment status before cancelling.
5. Back in the ""Timesheet"" grid, tick the checkbox beside the correct tee time/booking.
6. Click ""Delete"" in the action toolbar on the ""Timesheet"" screen. This will cancel (delete) the reservation.
7. Check the ""Timesheet"" grid to confirm the booking has been removed and that the tee time slot is available again.

Important: If a payment was taken via BRS Payments, cancelling the booking does not automatically refund the customer. To process a refund:
- Open ""Booking Details""
- Expand the ""Payments"" section
- Click ""Refund"" beside the correct payment
- After refunding, you can check the refund status by going to ""Tools"" > ""BRS Payments"" > ""Refunds""

This process ensures the booking is cancelled and, if needed, any attached payments are handled correctly.

Source: [Version 14.28.0](https://help.brsgolf.com/hc/en-us/articles/5307301395857-Version-14-28-0)"
"Q003","Timesheet","casual","medium","payment-sensitive","1.5","common payment-sensitive workflow","200","90","90.6","86.7","100","release-quality pass","true","true","","Need to shift a paid 4-ball with a buggy to next Friday, what's the clean way?","Strong paid-booking move route and live-action guardrail; should explicitly check the buggy/service after moving.","Move a booking

I cannot move a live BRS booking for you. Staff need to make the change directly in BRS using this workflow:

1. Open the Timesheet from the main navigation menu for the booking date and course.
2. In the tee-time grid, click the booked tee time or booking name to open the Booking Details page.
3. Click Cut from inside the Booking Details page.
4. Return to the Timesheet.
5. Go to the new date if the booking is moving to a different day.
6. In the tee-time grid, tick the checkbox beside the target tee time you want to move the booking to.
7. Click Paste in the Timesheet action toolbar above the tee-time grid.
8. Check the booking and payment status after moving it.

Important:
Use Cut from inside Booking Details. If the booking has payment information attached, this is the route that keeps the payment information with the booking.

Related guides:
- [Buggy Management](https://help.brsgolf.com/hc/en-us/articles/360001478214-Buggy-Management)"
"Q005","Timesheet","large-paragraph","hard","normal","1.5","common workflow with safe-but-unhelpful escalation","200","58","51.8","93.3","100","poor or safe-but-unhelpful","false","false","","Morning, we've got a shotgun-ish society next month and I need 8 or 9 consecutive slots blocked off but not sure if I should add one booking, a reservation type, or block each tee time. I don't want visitors grabbing the times while we sort names. Can the bot explain the safest BRS way?","Safe escalation, but this is a realistic society/blocking question and the user is not helped. Scored in the agreed 55-60 band.","I do not have a complete verified BRS workflow for that yet, so I should not give steps that may be wrong.

I am escalating this to BRS Support. Please include the BRS area you were working in, what you were trying to do, and a screenshot of the page where you got stuck."
"Q006","Tools","clear","hard","settings-sensitive","1.5","settings-sensitive workflow","200","91","92.9","80","93.3","release-quality pass","true","true","","How do I change tee time intervals from 8 minutes to 10 minutes for Sundays only?","Strong Configure Timesheet answer with check step; includes a small irrelevant Saturday example and could warn more clearly that settings are live.","Configure the Timesheet

Use this when you need to change the tee-time pattern, not make individual bookings. This covers opening earlier, finishing later, adding more generated tee slots, or changing the interval between tee times.

1. Use the main navigation menu to open ""Tools"".
2. On the ""Tools"" page, open ""Configure Timesheet"" in the Basic Set Up Requirements section.
3. Under ""Operation"", choose Configure one or multiple days with the same tee time interval or Configure one or multiple days with alternative tee time intervals.
4. Set ""Year"", ""Start Month"", ""Start Day of Month"", ""End Month"", and ""End Day of Month"" for the dates you want to change.
5. Set ""Tee Time Interval"" or ""Alternate Tee Time Intervals"", then use ""First Tee Time Hour"", ""First Tee Time Minute"", ""Last Tee Time Hour"", and ""Last Tee Time Minute"" to control the start and end of the day.
6. Tick the required days under ""Select the days of the week you want to configure"", then click ""Configure the Timesheet"".
7. Open the ""Timesheet"" and check the affected dates before taking bookings on the new pattern.

Check:
- For opening earlier on Saturdays, set the date range and tick Saturday only.
- If you only need one extra slot on one day, check ""Squeeze Tee Time"" on the ""Timesheet"" before changing the wider timesheet setup.
- After saving, check the first tee time, last tee time, and interval spacing on the affected ""Timesheet"" dates."
"Q008","Visitor Booking","clear","medium","normal","1.5","visitor/member availability setup","200","88","88.2","86.7","93.3","good but not release-quality","false","false","","How can I stop visitors booking member times while still selling visitor tee times later in the day?","Good conceptual split between member rules, visitor availability, rates, and restrictions; not quite release-quality due to broadness.","Check Member and Visitor Online Booking Rules

1. First split the setup by audience: members and visitors can be controlled by different BRS settings.
2. For member access or member-priority times, go to ""Tools"" and open ""Member Casual Booking Rules"".
3. In ""Member Casual Booking Rules"", check ""Course"", ""Start Date"", ""End Date"", ""Start Time"", ""End Time"", ""Type"", ""Days Advance Booking"", ""Days of Week"", and ""Applies to"".
4. For visitor online availability, check the visitor online booking setup that controls the date range, day of week, time range, course, and booking window.
5. Also check ""Green Fee Rates for Visitors / Tour Operators / Tee Time Agents"" if the visitor slot depends on a visitor rate being available.
6. Check ""Course"" Restrictions if the rule is really blocking a course, time range, player type, or group size rather than changing member or visitor booking availability.
7. Test both the member booking view and the public visitor booking flow after any change.

Do not treat this as one setting: member-only periods, visitor availability, rates, and course restrictions can all affect whether a slot appears online."
"Q009","Visitor Booking","casual","medium","settings-sensitive","1.5","settings-sensitive visitor pricing","200","86","85.9","86.7","86.7","good but not release-quality","false","true","","Can we make twilight cheaper online without changing every single green fee manually?","Useful twilight-rate answer; some exact label/bulk-update confidence should be validated before release.","How to Update Twilight Green Fee Pricing for Online Bookings

To make your twilight green fee cheaper for online bookings without manually changing every single green fee, you can update your rates for only the twilight period and set it to apply online, using the bulk update feature in the BRS system.

Follow these steps:

1. Open the ""Tools"" menu in your BRS dashboard.
2. Select ""Green Fee Rates for Visitors / Agents"".
3. Choose the correct ""Year"" for when you want the new twilight pricing to be available.
4. Set the ""Start Date"" and ""End Date"" to match your twilight period or the date range you want the new price to apply.
5. In the ""Rate Group"", select your ""Twilight"" or equivalent group (this is how you target only the twilight rates, not all green fees).
6. Adjust other filters as needed, such as ""Course"", ""Holes"", and crucially the ""Booking Channel"" (choose the online channel to set online-only pricing).
7. Enter the new, lower price in the ""Visitor Rate"" (and/or ""Agent Rate"" if needed).
8. Click ""Save"" to update the rates for the selected period, rate group, and channel.
9. Check the updated list to confirm the correct twilight price is shown for online bookings in the correct date and time slot.

Summary:
This process lets you change the twilight green fee price for online bookings in one step—without needing to change every rate manually—by setting your filters and using the correct rate group and channel.

Tip: Always verify that you have targeted the correct date, channel, and rate group before saving the changes. If you run multiple twilight periods, repeat the process for each required set of dates/times.

Source: [Version 12.16.0](https://help.brsgolf.com/hc/en-us/articles/360010380473-Version-12-16-0)"
"Q010","Visitor Booking","club-specific-trap","medium","policy-specific","1.5","club-policy sensitive","200","32","24.7","73.3","13.3","serious failure","false","true","policy-boundary failure","What's our foul weather refund policy for visitors at Dumbarnie?","Wrong intent: a club-specific foul-weather policy question became a generic refund workflow. It did not confirm that the policy is club-specific.","Refund an Online Tee-Time Booking Payment

1. In the tee-time grid, click the booked tee time or booking name to open ""Booking Details"".
2. Expand the Payments section in ""Booking Details"".
3. Confirm the payment was taken through ""BRS Payments"" and check the customer, booking date, amount, and transaction status.
4. Click Refund beside the correct payment.
5. For a partial refund, enter only the amount that should be returned.
6. Enter a reason if required and confirm the refund.
7. After processing, go to ""Tools"" > ""BRS Payments"" > ""Refunds"" to check the refund record.

Payments taken by cash, PDQ, cheque, card terminal, or another non-BRS method cannot be refunded through ""BRS Payments""."
"Q011","Payments","clear","medium","payment-sensitive","1.5","payment-sensitive workflow","200","54","51.8","66.7","80","poor or safe-but-unhelpful","false","true","","How do I send a payment link to a society organiser instead of taking payment over the phone?","Mentions General Payment Requests but wraps a simple payment-link question in confusing Golf Events/extras guidance.","Handle a Golf Event Change with Extras or Payment

1. Use ""Golf Events"" for the event date, event start/end time, organiser reservation, and event username.
2. Use the ""Timesheet"" or ""Booking Details"" for the affected event booking before changing player or booking details.
3. Use the booking's services/extras area to add buggies, club hire, caddies, trolleys, or other configured services.
4. Use ""Tools"" > ""BRS Payments"" > ""General Payment Requests"" only when the club needs a non-booking-specific payment link.
5. Check the event date, reserved tee times, organiser, services, and payment amount before saving or sending anything.

This is a multi-area task: ""Golf Events"" controls the event block, Services controls extras, and ""BRS Payments"" controls general payment links."
"Q012","Payments","convoluted","hard","payment-sensitive","1.5","payment/refund-sensitive workflow","200","91","90.6","93.3","93.3","release-quality pass","true","true","","Visitor paid online, rang to reduce from 4 players to 3, and now wants one green fee back. Can I do a partial refund and what should I check?","Good partial-refund answer; should also mention checking/updating player count and avoiding refund-timing promises.","Refund an Online Tee-Time Booking Payment

1. In the tee-time grid, click the booked tee time or booking name to open ""Booking Details"".
2. Expand the Payments section in ""Booking Details"".
3. Confirm the payment was taken through ""BRS Payments"" and check the customer, booking date, amount, and transaction status.
4. Click Refund beside the correct payment.
5. For a partial refund, enter only the amount that should be returned.
6. Enter a reason if required and confirm the refund.
7. After processing, go to ""Tools"" > ""BRS Payments"" > ""Refunds"" to check the refund record.

Payments taken by cash, PDQ, cheque, card terminal, or another non-BRS method cannot be refunded through ""BRS Payments""."
